;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201
1;0.16805;-0.37492;-0.05419;0.10631;0.4097;-0.64118;-0.02088;-0.13855;0.06323;0.00619;0.19455;0.19759;0.30025;0.51109;0.57364;0.6267;0.32171;0.56806;0.55074;0.46875;0.54943;0.48242;0.52007;0.25482;0.34578;0.3212;0.38345;0.44501;0.37415;0.49661;0.59944;0.86657;1.20962;1.60098;1.19585;1.13279;0.89454;0.86875;1.4898;1.63145;2.11598;2.15666;1.86792;2.56785;2.5285;0.90303;3.29426;0.45382;0.28329;0.40202;0.38554;0.11929;0.09693;0.28073;0.1597;-0.06439;0.00172;-0.53952;-0.39913;-0.31724;-0.4123;-0.7791;-0.66722;-0.57402;-0.56669;-0.73765;-0.87359;-0.37149;-0.97096;-0.83831;-0.81686;-0.66123;-0.7419;-0.56124;-0.73308;-0.51715;-0.64292;-0.81526;-0.69687;-0.66829;-0.44463;-0.68613;-0.60762;-0.4282;-0.36379;-0.78883;-0.90827;-0.82505;-0.61268;-0.92037;-0.57195;-0.58158;-0.60773;-0.36267;-0.51782;-0.33139;-0.366;-0.28397;-0.19209;-0.48776;0.62477;1.44541;0.9637;0.91927;1.04966;0.67449;0.66404;0.75391;0.65098;0.5745;0.13644;0.31275;0.62325;0.44995;0.44005;0.52987;0.48527;0.35294;0.18554;0.36007;0.29019;-0.00841;0.09434;-0.03884;0.1343;-0.29589;-0.34964;-0.1265;-0.06841;-0.15752;0.29766;0.16879;-0.00244;0.08022;0.18851;-0.16549;-0.25257;-0.1535;-0.06018;-0.31937;-0.29048;-0.18716;-0.33001;-0.34743;-0.51251;0.00647;-0.34438;-0.8935;-0.21773;-0.57305;-0.4385;-0.45628;-0.83656;-0.67124;0.20191;0.40676;0.39611;0.13189;0.62901;-0.02568;0.51609;-0.11606;0.10998;-0.08109;-0.17832;0.04514;0.27985;0.13842;0.34939;0.1419;0.19285;-0.06505;0.40358;0.13566;0.2974;0.04896;0.13586;0.47741;0.20435;0.38151;0.14718;0.14318;0.03521;-0.00163;0.08581;0.23765;-0.19937;0.19192;0.24616;0.07114;0.00989;0.05357;0.19988;-0.16156;-0.00936;-0.1624;-0.23593;0.05621;-0.136;0.06791;0
2;0.01728;-0.133;-0.41769;0.10875;-0.34594;-0.15312;0.00014;0.28541;-0.08692;-0.06874;-0.06414;-0.10978;-0.17718;0.02035;-0.17287;-0.0014;-0.45265;-0.36591;-0.41457;-0.08465;-0.56217;-0.4881;-0.44255;-0.37513;-0.39202;-0.50081;-0.70284;-0.68676;-0.50223;-0.46423;-0.46654;-0.48614;-0.71341;-0.26506;-0.49613;-0.59633;-0.69535;-0.64207;-0.65625;-0.5725;-0.68904;-0.22122;-0.28901;-0.19097;-0.28728;-0.07315;-0.02534;-0.14748;-0.09497;-0.15859;-0.10337;0.10366;-0.0582;-0.06465;-0.0959;0.06602;-0.25929;-0.04666;0.0532;-0.14068;0.01002;-0.16049;0.01391;0.07907;0.0555;0.02513;-0.04578;0.16457;0.11424;0.09293;0.13796;0.16672;0.04493;0.2432;0.16679;0.08671;0.0915;0.17493;0.38924;0.34058;0.43505;0.54207;0.29962;0.19499;0.37823;0.2565;0.56401;0.36581;0.1507;0.40273;0.22023;0.4295;0.46767;0.46169;0.26241;0.49348;0.23794;0.32967;0.35025;0.18511;0.62334;0.58044;0.47061;0.54505;0.72839;0.25394;0.50429;0.62967;0.38478;0.47155;0.6383;0.58616;0.5508;0.56177;0.19693;0.41629;0.15123;0.17552;0.43587;0.20111;0.34172;0.1296;0.11161;-0.10476;-0.12889;-0.4354;-1.01097;-0.57664;-0.68068;-0.68756;-0.79285;-0.92668;-0.92009;-0.74445;-0.66995;-1.5067;-0.8631;-1.11982;-0.80169;-0.85862;-0.74953;-0.4727;-0.65493;-0.72018;-1.10754;-0.85447;-0.95704;-0.83721;-0.94323;-0.89514;-0.87259;-0.7067;-0.94239;-1.03557;-0.98754;-0.84907;-1.06463;-0.7327;-0.62006;-0.18548;-0.83463;-0.4957;0.13751;-0.12116;-0.11426;-0.02796;-0.04158;0.1766;0.04326;-0.0132;0.21809;0.14186;0.16371;-0.04142;0.2098;0.29974;0.3737;0.05485;0.28629;0.12506;-0.00831;-0.1238;-0.13867;-0.08903;-0.30368;-0.4552;-0.56473;-0.2557;-0.91657;-0.33959;-0.3719;-0.57499;-0.5639;-1.29888;-0.59815;-0.15832;-0.6402;-0.61625;-0.6278;-1.02194;0
3;-1.24634;-0.64486;-0.72763;-0.747;-0.48075;-0.99276;-1.02395;-0.97884;-1.12809;-0.89319;-1.50281;-1.21952;-1.88406;-1.30482;-1.13659;-1.49886;-0.87644;-0.80653;-0.6099;-0.64949;-0.71376;-0.57391;-0.70155;-0.60179;-0.63284;-0.52682;-0.4772;-0.48894;-0.51654;-0.10521;-0.3951;-0.26777;-0.17181;-0.31287;0.14207;-0.08505;0.00328;0.1358;-0.10666;0.68116;0.22228;-0.01198;-0.01346;-0.22378;-0.04396;0.10212;-0.15788;-0.02416;-0.19094;0.11915;0.01541;-0.1975;-0.30037;-0.13819;-0.0793;-0.34014;-0.2862;-0.04555;-0.07331;0.13272;0.09529;0.04926;-0.17296;0.26914;-0.25891;0.11289;0.15143;-0.18865;0.06078;0.28205;-0.06301;0.23688;0.43124;0.18916;0.58607;0.19301;0.57095;0.19478;0.3359;0.15138;0.44025;0.18667;0.20703;0.4311;0.12619;0.47196;0.1942;0.75954;0.36741;0.61616;0.39723;0.63405;0.21532;0.70271;0.28127;0.4567;0.42446;0.30146;0.41215;0.07545;-0.76291;0.02824;0.04815;-0.02286;0.28014;0.26329;0.09895;0.33452;-0.02285;0.32236;0.51801;0.03667;0.24409;0.11285;0.15904;-0.08606;-0.01238;-0.17584;0.13109;-0.07331;0.02876;0.02993;-0.0057;0.11848;-0.00549;0.00894;0.00908;-0.13094;-0.367;-0.18076;-0.19211;-0.56401;-0.51584;-0.44468;-0.38882;-0.49232;-0.43139;-0.68105;-0.50476;-0.72935;-0.2133;-0.49097;-0.42518;-0.65039;-0.61275;-0.54552;-0.65459;-0.67098;-0.54253;-0.62696;-0.60303;-0.41237;-0.41309;-0.24003;-0.12066;-0.28023;-0.29138;-0.21442;-0.33886;-0.32372;-0.40329;-0.42537;-0.31844;-0.5979;-0.62416;-0.66697;-0.54306;-0.3467;-0.52168;-0.69125;-0.19406;-0.68419;-0.79745;-0.50411;-0.46993;-0.35129;-0.32281;-0.06979;-0.00272;-0.21661;-0.24756;0.01976;-0.2017;-0.0973;0.06337;-0.01598;0.26087;-0.16423;0.21323;0.57302;0.17389;0.04319;0.47754;-0.12888;0.42053;0.1116;0.16855;0.18333;0.11901;0.18208;0
4;0.52003;0.56517;0.35012;0.29101;0.22101;0.19094;0.14515;0.16362;0.10255;0.08015;-0.025;0.05921;0.00167;0.01736;-0.01246;0.01375;0.08685;-0.02181;-0.07243;-0.0273;-0.06846;-0.0376;0.01057;-0.01431;-0.03066;-0.01235;-0.13898;0.05004;-0.03171;-0.02432;-0.09567;-0.08781;-0.08457;-0.05356;-0.09547;-0.10176;-0.05202;-0.0996;-0.04307;-0.09192;-0.0074;-0.09005;-0.08897;-0.11846;-0.08137;-0.10367;-0.08323;0.08833;0.57654;0.8262;1.11618;1.22274;1.20786;1.13636;0.83177;0.68745;1.21789;0.91373;0.91821;1.17252;1.02753;0.95245;1.01609;1.18032;1.03946;1.13905;1.37303;1.58486;1.35876;1.42488;1.02925;0.89739;0.87017;0.7436;0.59198;0.59877;0.7183;0.6197;0.4722;0.53455;0.25156;0.38569;0.37437;0.47119;-0.06134;0.1551;0.00437;0.30217;-0.06406;-0.21564;0.21423;-0.25954;-0.41128;-0.1873;-0.64472;0.38278;0.37091;0.2339;0.14377;-0.12042;0.00039;-0.15582;0.12609;0.0925;-0.04582;0.4109;-0.20177;0.06486;0.27915;0.09844;-0.16003;-0.45433;0.19728;-0.31416;-0.37484;-0.45034;-0.39849;-0.32779;-0.12927;-0.52872;-0.42174;-0.8946;-0.72466;-0.61206;-0.59917;-0.82394;-0.66746;-1.14277;-0.94396;-0.91736;-1.00455;-0.92832;-0.96865;-0.93742;-0.85398;-1.02949;-1.05458;-1.05615;-1.24202;-1.11319;-0.9723;-0.9817;-1.07348;-0.85432;-1.06762;-0.94722;-0.83905;-0.84979;-0.9267;-0.72493;-0.71814;-1.09509;-0.82124;-0.78139;-1.07159;-0.76445;-0.71222;-0.6675;-0.6674;-0.93732;-0.92474;-0.42154;-0.47185;-0.40503;-0.6706;-0.32191;-0.57541;-0.36703;-0.42407;-0.35404;-0.42193;-0.36036;-0.6065;-0.36543;-0.45554;-0.52047;-0.51495;-0.55339;-0.69602;-0.38139;-0.35625;-0.71153;-0.37427;-0.37984;-0.58267;-0.73566;-0.50038;-0.97179;-0.79445;-0.82;-0.85588;-0.83389;-1.10497;-0.82396;-0.93967;-1.21166;-0.94631;-0.81002;-1.20142;-1.37891;0
5;0.21887;0.25272;0.07538;0.12793;0.36028;0.30252;-0.12532;-0.08792;-0.16055;0.21691;0.04699;-0.13161;-0.16896;-0.15697;-0.26821;-0.32271;-0.11753;-0.52444;-0.18892;-0.52554;-0.52473;-0.26553;-0.34792;-0.40542;-0.52159;-0.47572;-0.43668;-0.61221;-0.55841;-0.38182;-0.60385;-0.53542;-0.61102;-0.49969;-0.51679;-0.41852;-0.54459;-0.49654;-0.40121;-0.55612;-0.49802;-0.4999;-0.37769;-0.39679;-0.54759;-0.59215;-0.39802;-0.52244;-0.85226;-0.69591;-0.67135;-0.52551;-0.78352;-0.81149;-0.84017;-0.70644;-0.63915;-0.57452;-0.5738;-0.45056;-0.57914;-0.37442;-0.35347;-0.19329;-0.28287;-0.49291;-0.49901;-0.36912;0.08643;-0.18746;0.15274;0.01164;0.03377;-0.1118;0.03243;0.10913;0.04221;0.0368;-0.11693;0.33181;0.32284;0.11462;0.48383;0.31674;0.63147;0.19643;0.41972;0.56589;0.24048;0.06714;0.30879;0.0298;0.02729;-0.23645;-0.0034;-0.23402;-0.24074;-0.25155;-0.33858;-0.30484;-0.39288;-1.2003;-1.12668;-1.26063;-1.24618;-1.07354;-1.29606;-1.43105;-1.32665;-1.49691;-1.43815;-1.46987;-1.47804;-1.57898;-1.51047;-1.5467;-1.54446;-1.54989;-1.38564;-1.60644;-1.45161;-1.21684;-0.92905;-0.48858;-0.26761;-0.24277;-0.23245;-0.24815;-0.19988;-0.19942;-0.11106;-0.11604;-0.0061;-0.01601;-0.06192;-0.04317;-0.1032;-0.09414;0.09652;0.58041;0.64471;0.20182;-0.04093;-0.45007;-0.72159;-1.41037;-1.49924;-1.75753;-1.76838;-1.76979;-1.48808;-1.3151;-1.3147;-1.16953;-1.0675;-0.63073;-0.09745;0.70145;0.37008;0.50067;0.39209;0.43896;0.39255;0.36567;0.36013;0.36165;0.33248;0.27239;0.28419;0.27206;0.26217;0.40957;0.54165;1.05808;1.69657;1.9015;1.62046;1.20798;0.75042;0.61115;0.90135;1.64388;1.98043;1.77742;1.70138;1.53303;1.63242;1.5369;1.13248;1.41541;1.14242;1.33031;1.6024;1.49398;1.26293;1.41306;1.3232;1.05913;1.16567;1.03922;0
6;-0.35323;-0.51875;-0.55194;-0.63804;-0.54114;-0.52413;-0.65073;-0.6376;-0.64632;-0.38764;-0.37852;-0.60294;-0.70953;-0.49609;-0.4226;-0.21629;-0.07543;-0.27572;-0.0792;0.07973;-0.13677;-0.05989;0.09022;-0.08765;0.05315;0.034;0.22141;0.21833;-0.02761;-0.11119;-0.08761;-0.19748;-0.40161;-0.13095;-0.38927;-0.21658;-0.38537;-0.39606;-0.28781;-0.55044;-0.14967;-0.39496;-0.43069;-0.15386;-0.31006;-0.3659;-0.10498;0.12472;-0.09471;-0.11475;0.62103;0.23779;-0.01686;0.23182;0.08074;0.02558;0.07331;0.2478;-0.01666;0.36012;0.26081;0.15681;0.62804;0.01763;0.49079;0.38872;0.12322;0.42865;0.1879;0.20166;0.05665;0.07951;-0.1006;0.00508;0.23141;0.07789;-0.21594;-0.15004;-0.07956;-0.15624;-0.17947;0.06551;0.07005;0.00274;0.56815;0.04932;0.38077;0.21549;0.27495;0.2704;0.25135;0.07208;-0.2367;-0.15773;0.02438;-0.11737;-0.18384;-0.07407;-0.04308;-0.15535;0.03369;0.16843;0.26383;-0.06244;-0.01492;0.0812;0.07455;-0.1798;-0.27506;-0.22901;-0.30535;-0.32314;-0.41807;-0.59786;-0.4568;-0.28823;-0.26146;-0.64453;-0.47219;-0.67793;-0.78007;-0.65447;-0.51786;-0.45328;-0.4008;-0.45354;-0.57321;-0.437;-0.50262;-0.49983;-0.64648;-0.42928;-0.50371;-0.61088;-0.39602;-0.44897;-0.51923;-0.77285;-0.58124;-0.51443;-0.45304;-0.5248;-0.43896;-0.45634;-0.60491;-0.45638;-0.57361;-0.4871;-0.51627;-0.45656;-0.52835;-0.3876;-0.06315;-0.13119;-0.24602;-0.21044;-0.31536;-0.30542;-0.17076;-0.14234;-0.23775;-0.21058;-0.00523;0.07929;0.25429;0.18272;0.06107;0.11438;0.11683;0.24681;0.07619;0.00988;-0.0828;0.0924;-0.10675;-0.20148;0.05611;-0.2257;-0.26766;-0.22233;-0.47131;-0.30894;-0.30577;-0.35921;-0.21982;-0.40225;-0.19092;-0.38672;-0.70709;-0.57594;-0.62432;-0.68775;-0.49192;-0.62599;-0.6636;-0.60562;-0.7311;-0.86831;-0.84713;-0.93178;0
7;-0.54019;-0.64973;-0.83382;-0.67845;-0.63517;-0.65963;-0.65857;-0.76225;-0.65085;-0.70089;-0.36499;-0.00183;-0.18784;-0.3945;-0.23259;-0.10533;-0.1336;-0.13743;-0.16435;-0.19975;-0.28833;-0.29954;-0.11736;-0.23698;-0.26526;-0.27993;-0.19431;-0.29575;-0.20908;-0.192;-0.23256;-0.1969;-0.24401;-0.17156;-0.28392;-0.19022;-0.27602;-0.17289;-0.1415;-0.27433;-0.24975;-0.28549;-0.14896;-0.31838;-0.32724;-0.1905;-0.23554;-0.22517;-0.2321;-0.18192;-0.17193;-0.1437;-0.17934;0.52986;0.23943;0.50859;0.39165;0.65152;0.51603;0.64548;0.48761;0.5173;0.66568;0.7267;0.86599;0.7314;0.78054;1.07991;1.01482;1.0908;1.18024;0.95847;0.69459;0.52827;0.44261;0.42425;0.23293;0.48288;0.0964;0.36666;0.24244;0.16072;0.14736;0.01078;0.19608;0.42616;-0.07585;0.00283;-0.17117;0.15672;0.01293;0.1743;0.12208;-0.27462;-0.36899;0.27963;-0.19792;0.39554;0.0903;-0.04443;-0.07905;-0.0885;-0.17041;-0.27483;-0.40811;-0.10667;-0.49119;-0.23114;-0.2355;-0.35913;0.30844;-0.18046;0.10217;0.41976;0.24257;0.20626;0.66197;0.44593;0.36105;0.53332;0.42799;0.3309;0.54595;0.24679;0.39901;0.65068;0.51717;0.16358;0.12388;0.38137;0.11903;-0.10817;-0.08705;-0.21414;-0.15365;-0.14876;-0.10837;-0.24369;-0.1841;-0.0346;-0.27651;-0.22773;0.07416;-0.22943;-0.17451;-0.03203;-0.25487;-0.11123;-0.15184;-0.20555;0.00778;-0.47784;-0.25067;-0.05548;-0.11773;-0.2258;-0.33966;-0.44821;-0.116;-0.17948;-0.09888;-0.46388;-0.21474;-0.36515;-0.25394;-0.24884;-0.44434;-0.36443;-0.37076;-0.56907;-0.25064;-0.34951;-0.25773;-0.3454;-0.35159;-0.2125;-0.24443;-0.24566;-0.43704;-0.1567;-0.16756;-0.19326;-0.36002;-0.20251;-0.18757;-0.12492;-0.09677;-0.16596;0.06355;-0.19205;0.05024;0.08319;-0.28493;0.11369;0.23127;0.26798;-0.15782;0.0714;0.1894;0.36505;0
8;0.84305;0.56608;0.53259;0.14769;-0.1355;-0.18309;-0.20263;-0.29182;-0.25711;0.34143;0.16336;0.41039;0.11442;0.37364;0.19796;0.12125;0.06467;-0.03613;0.00752;-0.05816;-0.05822;-0.09896;-0.12024;0.5418;-0.12356;-0.90918;0.09043;0.13158;-0.51436;-0.02164;-0.36364;0.07538;0.31287;0.35111;0.28035;0.26606;0.23881;0.07085;0.09369;-0.02105;-0.06564;-0.0901;0.3299;0.48272;0.48026;0.36819;0.36854;0.23402;0.16099;0.22752;0.09167;-0.1161;-0.19035;-0.43688;-0.37567;-0.42371;-0.42634;-0.3186;-0.26009;0.09799;0.31755;0.04015;0.01432;0.2664;0.1061;0.22729;0.07624;-0.05364;-0.07981;-0.13352;-0.18175;-0.21271;0.20632;0.16007;0.18252;-0.04267;0.13902;0.12658;0.20635;0.10779;0.07687;0.11984;0.07289;0.02338;0.07677;-0.00589;0.083;-0.01831;0.02524;-0.10148;-0.03423;-0.02709;-0.05167;-0.1486;0.16198;1.61105;0.5753;0.26988;0.24945;0.06909;-0.51752;-0.34872;-0.0642;-0.29068;-0.20634;-0.11963;-0.30117;-0.0673;-0.0684;0.14369;-0.09863;0.10434;-0.09833;-0.02521;0.04794;0.19722;0.35418;0.258;0.19868;0.21665;0.27305;0.31927;0.27537;0.35763;0.37639;0.31897;0.26777;0.30475;0.49526;0.67978;0.45911;0.71289;0.4488;0.7165;0.51809;0.66827;0.28681;0.69511;0.37034;0.8019;0.22016;0.4818;-0.00197;-0.03961;-0.09406;-0.29245;-0.20518;-0.16804;-0.09621;-0.31662;-0.24663;-0.28583;-0.26946;-0.11512;-0.24725;-0.31262;-0.40228;-0.30791;-0.31388;-0.43766;-0.08136;0.10433;0.16243;0.3281;0.30111;0.10957;0.15112;0.24436;0.3451;0.20011;0.28404;0.30326;0.20395;0.2934;0.11345;0.22268;0.40879;0.11999;-0.01921;0.10462;0.09279;0.2712;0.07759;-0.15982;0.37198;0.20255;0.52506;0.1933;0.43986;0.22491;0.13068;0.41007;0.10234;0.52317;0.02015;0.3875;0.198;0.15805;0.29159;0.08462;0
9;-0.55522;0.16536;0.38296;0.63664;0.54092;0.70814;0.81734;0.63078;0.57197;0.55681;0.43611;0.48767;0.38561;0.51464;0.29463;0.64637;0.29237;0.76687;0.55555;0.65723;0.51731;0.32929;-0.0075;0.22589;-0.19505;0.03414;-0.10622;-0.09593;-0.1578;-0.30039;-0.11134;-0.26048;-0.12367;-0.05519;-0.21476;-0.13516;0.05229;-0.28348;-0.23169;-0.15106;-0.38568;-0.04691;-0.16372;-0.20448;-0.07786;-0.14125;-0.25475;-0.05313;-0.24901;-0.32607;-0.01246;-0.1556;0.0758;0.0166;-0.08259;-0.41658;-0.26629;-0.37194;-0.54969;-0.49511;-0.61076;-0.33208;-0.66355;-0.49177;-0.46163;-0.63118;-0.83648;-0.91581;-0.60301;-0.20903;-0.76564;-0.57958;-0.26513;-0.4987;-0.53183;-0.56727;-0.50505;-0.45018;-0.65418;-0.48939;-0.23217;-0.55412;-0.5459;-0.34925;-0.45308;-0.60761;-0.62229;-0.4931;-0.5262;-0.43851;-0.54505;-0.67505;-0.49925;-0.48221;-0.56662;-0.46072;-0.40994;-0.51064;-0.37591;-0.50156;-0.36878;-0.1551;-0.03459;-0.08808;-0.22767;-0.1212;-0.18319;-0.13407;-0.27588;-0.12747;-0.10785;-0.24385;-0.17202;-0.2427;-0.14186;-0.36213;-0.25556;-0.21149;-0.1545;-0.42164;-0.53922;-0.51546;-0.50162;-0.55794;-0.39876;-0.26173;-0.22757;-0.44721;-0.52832;-0.51574;-0.1985;-0.5225;-0.41429;-0.42834;-0.34528;-0.46887;-0.28205;-0.5858;-0.37487;-0.17016;-0.29241;0.07431;0.12592;-0.07451;-0.11096;0.0055;-0.09465;-0.00983;-0.13696;-0.51095;-0.34114;-0.55416;-0.64454;-0.13759;-0.47181;-0.68505;-0.45359;-0.51748;-0.70262;-0.46949;-0.62034;-0.58077;-0.30715;-0.54192;-0.77764;-0.82751;-0.56919;-0.49442;-0.40956;-0.9362;-0.6942;-0.6094;-0.76815;-0.32413;-0.38552;-0.27667;-0.2814;-0.37905;-0.14006;-0.50421;-0.36861;-0.31345;-0.46569;-0.34428;-0.76925;-0.43685;-0.61385;-0.72438;-0.29225;-0.46607;-0.84755;-1.12291;-0.64885;-0.7139;-0.96822;-0.84439;-0.43939;-1.22578;-0.93617;-1.4011;0
10;-0.8809;-0.93021;-1.0572;-1.17789;-1.01532;-1.34414;-1.10257;-1.12177;-0.92899;-1.03913;-0.86153;-0.81443;-0.81476;-0.78516;-0.75399;-0.75264;-0.71939;-0.84148;-0.70108;-0.7889;-0.7858;-0.67327;-0.76142;-0.78098;-0.74995;-0.78682;-0.71162;-0.86621;-0.59943;-0.74748;-0.84995;-0.68747;-0.73942;-0.46763;-0.6457;-0.4275;-0.75378;-0.71951;-0.62521;-0.48119;-0.6571;-0.41673;-0.64006;-0.33629;-0.36457;-0.57664;-0.40719;-0.49549;-0.44941;-0.39684;-0.3253;-0.45459;-0.35667;-0.57596;-0.34797;-0.41983;-0.37479;-0.35847;-0.43254;-0.47264;-0.403;-0.35983;-0.36784;-0.36761;-0.37906;-0.38813;-0.29902;-0.31834;-0.34058;-0.25502;-0.22915;-0.19748;0.32951;0.54354;0.34743;0.62431;0.49963;0.6492;0.80898;0.74299;0.18207;0.61348;0.62785;0.14837;0.82866;0.5613;0.85783;1.05476;0.31763;1.36642;0.74175;0.75434;0.49681;0.70883;1.35559;-0.17103;0.88907;1.0117;0.38495;1.03566;0.42643;0.64256;0.26291;0.83469;0.25002;0.17419;0.70701;0.34314;0.26928;0.38894;0.4826;-0.05908;-0.01031;0.37209;-0.14596;0.40709;0.15308;0.02782;0.36508;0.34944;-0.05242;0.29601;-0.02675;0.45783;-0.01848;0.34116;0.20749;0.26746;0.44738;0.14148;0.04295;0.55661;-0.28457;0.39112;0.15357;0.15524;0.11938;0.17079;0.25561;0.33011;-0.12295;0.34655;-0.11506;0.36106;0.28295;-0.00078;0.37022;0.29076;-0.03012;0.07801;-0.02804;0.09533;-0.09686;-0.02152;0.21757;0.33993;-0.08294;0.0236;-0.09677;0.26714;-0.14813;0.06482;0.02936;0.12587;-0.31266;0.25288;-0.73136;-0.04927;-0.21503;0.11035;0.09873;-0.17266;0.22952;-0.14208;-0.24126;-0.32393;-0.06524;-0.21756;-0.3276;0.02373;-0.11348;-0.17978;0.15837;0.17085;-0.01296;0.0824;0.13972;0.15114;0.57135;-0.03155;0.45629;0.83681;0.58589;0.70813;0.73251;0.68634;0.57205;0.10579;0.44787;0.73195;0
